date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-20,cuma,kahvalti yemegi,pisi,salatalik,,"kasar peynir, tereyagi, labne","recel, sutlu gevrek"
2024-09-21,cumartesi,kahvalti yemegi,patates kizartmasi,yesil zeytin,,"siyah zeytin, domates, salatalik, tahin helva, yumurta, sutlu gevrek","beyaz peynir, tereyagi, bal"
2024-09-22,pazar,kahvalti yemegi,,corba,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","recel, labne, tahin-pekmez"
2024-09-23,pazartesi,kahvalti yemegi,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-09-24,sali,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tahin helva, tereyag, recel"
2024-09-25,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates","salatalik, kasar peynir, sutlu gevrek"
2024-09-26,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, tahin helva","labne, beyaz peynir"
2024-09-27,cuma,kahvalti yemegi,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","sutlu gevrek, kasar peynir"
2024-09-28,cumartesi,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik","beyaz peynir, tahin helva"
2024-09-29,pazar,kahvalti yemegi,,corba,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek, kasar peynir","recel, labne, tahin-pekmez"
2024-09-30,pazartesi,kahvalti yemegi,,pogaca + acma,yumurta,"domates, salatalik, sutlu gevrek, kasar peynir, yesil zeytin, siyah zeytin","findik kremasi, tereyagi, bal"
2024-10-01,sali,kahvalti yemegi,corba,patates,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-02,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-03,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-04,cuma,kahvalti yemegi,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-05,cumartesi,kahvalti yemegi,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal, helva"
2024-10-06,pazar,kahvalti yemegi,,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, labne, recel, tahin-pekmez"
2024-10-07,pazartesi,kahvalti yemegi,,simit / pogaca,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, bal, findik ezme"
2024-10-08,sali,kahvalti yemegi,corba,patates kizartmasi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, recel"
2024-10-09,carsamba,kahvalti yemegi,,menemen,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, tereyag, recel, tahin-pekmez"
2024-10-10,persembe,kahvalti yemegi,,acma/simit,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, labne, findik ezme, helva"
2024-10-11,cuma,kahvalti yemegi,,pisi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","kasar peynir, krem peynir, tereyag, recel"
2024-10-12,cumartesi,kahvalti yemegi,corba,su boregi,yumurta,"yesil zeytin, siyah zeytin, domates, salatalik, sutlu gevrek","beyaz peynir, tereyag, bal"
